title,bgg_id,bgg_url,image_url,description,game_type,difficulty,play_time,min_players,max_players,suggested_age,publisher,mechanics,location_room,location_shelf,location_misc,sleeved,upgraded_components,crowdfunded,inserts,is_for_sale,sale_price,sale_condition,is_expansion,parent_game,in_base_game_box,is_coming_soon,rating
"Everdell Silverfrost","","https://boardgamegeek.com/boardgame/436821/everdell-silverfrost","https://cf.geekdo-images.com/a3_h5VVlWvedrfofmYkKDg__opengraph/img/gL-EPvcuxYBWnrz3L7ESk8Xmebg=/0x0:2048x1075/fit-in/1200x630/filters:strip_icc()/pic8646704.png","Explore Silverfrost, a new standalone Everdell adventure set beyond the familiar valley, blending familiar mechanics with exciting twists. Discover uncharted territories, unique critters, and build thriving civilizations in a land shaped by harsh winters and burgeoning springs.

## Quick Gameplay Overview
- **Goal:** Establish the most successful civilization in Silverfrost by accumulating victory points.
- **On Your Turn:**
    - **Place a Worker:** Assign a worker to a board location to gain resources, draw cards, or perform special actions.
    - **Play a Card:** Play a Critter or Construction card from your hand into your city, spending resources.
    - **Prepare for the Next Season:** Retrieve workers, potentially gain seasonal bonuses, and progress through the game.
- **Winner:** The player with the highest total victory points after four seasons wins.","Board Game","3 - Medium","60+ Minutes","1","4","10+","Starling Games (II)","Worker Placement;Set Collection;Card Drafting;Hand Management;Resource Management","","","","","","","","","","","","","","true",""
"Exploding Kittens","","https://boardgamegeek.com/boardgame/172225/exploding-kittens","https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__opengraph/img/2GQDDt2HfOV58ip2jT-eJLQ6o-k=/0x0:680x357/fit-in/1200x630/filters:strip_icc()/pic2691976.png","Exploding Kittens is a whimsical, strategic, kitty-powered version of Russian Roulette where players try to avoid drawing the dreaded Exploding Kitten. This fast-paced card game combines humor, strategy, and a dash of absurdity for an explosive experience.

## Quick Gameplay Overview

*   **Goal:** Be the last player remaining who hasn't drawn an Exploding Kitten.
*   **On Your Turn:**
    *   **Play Cards:** Play any number of cards for various effects—-peek, force draws, skip turns.
    *   **Draw a Card:** You must draw one card, risking an Exploding Kitten.
*   **Winner:** The last player who has not exploded wins the game.

This edition features hilarious illustrations by The Oatmeal and is perfect for quick, entertaining game nights.","Card Game","1 - Light","15-30 Minutes","2","5","7+","Exploding Kittens","Hand Management;Player Elimination;Push Your Luck;Set Collection;Take That","","","","","","","","","","","","","","",""
"FaeKin","","https://boardgamegeek.com/boardgame/445610/faekin","https://cf.geekdo-images.com/LIi9kJB1Be5QAYDaiTccsQ__opengraph/img/f_ufs-GOdPjQIaQFW_D9TPeF2YU=/0x0:240x126/fit-in/1200x630/filters:strip_icc()/pic9208795.png","FaeKin is a social deduction game set in a mystical realm of warring Fae courts, where players uncover hidden identities, engage in secret duels, and execute dramatic reveals. It offers intense player interaction and strategic bluffing, making each round a thrilling experience.

## Quick Gameplay Overview

*   **Goal:** Uncover hidden identities and affiliations to Fae courts, eliminate rivals, or fulfill secret objectives.
*   **On Your Turn:**
    *   **Perform an action:** Challenge a player, use a Fae ability, or gather information.
    *   **Deduce and Bluff:** Observe behavior to piece together roles while maintaining your own identity.
    *   **Initiate Duels/Reveals:** Engage in duels or force reveals to expose opponents or achieve objectives.
*   **Winner:** The player or court that best navigates deceit and achieves their goals.","Card Game","1 - Light","0-15 Minutes","2","9","10+","Lioness Games","Betting and Bluffing;Deduction;Hidden Roles;Negotiation;Roles with Asymmetric Information","","","","","","","","","","","","","","",""
"Fairy Tile","","https://boardgamegeek.com/boardgame/220780/fairy-tile","https://cf.geekdo-images.com/RH3a82GuQKFR2thWHr9aLA__opengraph/img/7vGk1TjrLqxUUCF7m5hOmEDyK4o=/0x0:2423x1272/fit-in/1200x630/filters:strip_icc()/pic3780045.jpg","Fairy Tile is a charming game where players cooperatively build a fantastical land through tile-laying and guide its inhabitants. Uniquely, players become storytellers, completing narrative objectives to win.

## Quick Gameplay Overview
- **Goal:** Be the first to complete three ""story pages"" by moving characters and expanding the kingdom.
- **On Your Turn:**
    - **Develop the Kingdom:** Play a new land tile next to an existing one.
    - **Move a Character:** Move the Knight, Princess, or Dragon based on their unique movement rules.
    - **Complete a Story Page:** If conditions on a story page are met, complete it and draw a new one.
- **Winner:** The player who completes their third story page wins immediately.","Board Game","2 - Medium Light","30-45 Minutes","2","4","8+","2 Pionki","Pattern Building;Tile Placement;Set Collection;Grid Movement","","","","","","","","","","","","","","",""
"Fiction","","https://boardgamegeek.com/boardgame/380439/fiction","https://cf.geekdo-images.com/iGBMX7WcBvSOkeFQTb3YcQ__opengraph/img/_2me9Ybi2xc1ELLLOTIApAR9V70=/0x149:2000x1199/fit-in/1200x630/filters:strip_icc()/pic7349980.png","Fiction is a cooperative word deduction game where players guess a secret literary word while a ""Lie-brarian"" tries to mislead them. This party game blends elements of Codenames and Mysterium, offering a unique challenge where not all clues are what they seem.

## Quick Gameplay Overview
- **Goal:** Correctly guess the secret literary word as a team before time runs out.
- **On Your Turn:**
    - **Cipher Chooses Clues:** The Cipher receives a secret word and clue cards, then chooses clues to guide guessers.
    - **Lie-brarian Adds False Clue:** The Lie-brarian adds a misleading clue card.
    - **Guessers Discuss:** Guessing players discuss clues and decide on a word.
    - **Guess Reveals:** If correct, points are scored; if incorrect, penalties may apply.
- **Winner:** The team wins by guessing the secret word; the Lie-brarian wins if the team fails or runs out of turns.","Party Game","2 - Medium Light","15-30 Minutes","2","8","10+","Allplay","Spelling;Cooperative Game;Deduction","","","","","","","","","","","","","","",""
"Fika","","https://boardgamegeek.com/boardgame/292914/fika","https://cf.geekdo-images.com/ZG4bljxk4bSMLlR3iNvVgA__opengraph/img/LLjcU2NTdy3qctD0jABX9C1C74g=/0x11:1077x576/fit-in/1200x630/filters:strip_icc()/pic7096806.png","Fika is a delightful two-player card game embodying the Swedish tradition of ""fika,"" a moment for coffee and conversation. It offers a gentle, strategic experience where careful card play and observation lead to victory.

## Quick Gameplay Overview

*   **Goal:** Collect valuable sets of cards for victory points.
*   **On Your Turn:**
    *   **Play a Card:** Play one or more cards from your hand.
    *   **Match and Collect:** Match cards by criteria (color, type) to collect them into your scoring pile.
    *   **Draw New Cards:** Refresh your hand from the draw pile.
*   **End Game:** The game ends when the draw pile is depleted and all hands are played.
*   **Winner:** The player with the highest score from collected sets wins.","Card Game","2 - Medium Light","15-30 Minutes","2","2","10+","Board Game Circus","Pattern Building;Set Collection;Simultaneous Action Selection","","","","","","","","","","","","","","",""
"Firefly Fluxx","","https://boardgamegeek.com/boardgame/183896/firefly-fluxx","https://cf.geekdo-images.com/INsDlubbpxNUolsTxv5RdQ__opengraph/img/nfDRq9Q1Yy8vgJCjwRDJoH6tDIs=/0x20:942x578/fit-in/1200x630/filters:fill(blur):strip_icc()/pic2845556.png","Firefly Fluxx brings the unpredictable, ever-changing rules of Fluxx to the beloved Firefly universe. This card game features constantly shifting rules, winning conditions, characters, and iconic items from the TV series. Its unique and highly replayable experience perfectly captures the quirky, chaotic nature of both Firefly and Fluxx.

## Quick Gameplay Overview
*   **Goal:** Fulfill the current ""Goal"" by having required ""Keeper"" cards in front of you.
*   **On Your Turn:**
    *   **Draw:** Draw cards according to the current ""Draw"" rule.
    *   **Play:** Play cards according to the current ""Play"" rule.
    *   **New Rules:** Play cards to change game rules, activate actions, gain Keepers, or trigger Creepers.
    *   **Discard:** Discard if Hand or Keeper limits are in play.
*   **Winner:** The first player to meet the conditions of the active Goal card(s).","Card Game","1 - Light","15-30 Minutes","2","6","8+","Looney Labs","Hand Management;Set Collection","","","","","","","","","","","","","","",""
"Five Crowns","","https://boardgamegeek.com/boardgame/1472/five-crowns","https://cf.geekdo-images.com/sPc6K1gC--QrGHkdCmD8MQ__opengraph/img/L4wQY7DxO8n1Z5nq4lKb3WGUan8=/0x123:1298x805/fit-in/1200x630/filters:strip_icc()/pic2869930.jpg","Five Crowns is a unique five-suited rummy-style card game where players form books and runs with an ever-changing wild card and growing hand size. This classic game with a twist offers strategy, observation, and a bit of luck for all skill levels.

## Quick Gameplay Overview

*   **Goal:** Have the lowest score after eleven rounds by forming books and runs.
*   **Each Round:**
    *   **Draw:** Take one card from the draw or discard pile.
    *   **Meld/Lay Off:** Form books (same rank) or runs (same suit, sequential) from hand —or onto existing melds.
    *   **Discard:** Place one card onto the discard pile.
*   **End Game:** The game ends after the eleventh round.
*   **Winner:** The player with the lowest total score across all eleven rounds wins.

This edition features a standard deck of 5-suited cards, offering dynamic and enjoyable gameplay for families and friends.","Card Game","1 - Light","30-45 Minutes","1","7","8+","Set Enterprises, Inc.","Hand Management","","","","","","","","","","","","","","",""
"Flamecraft","","https://boardgamegeek.com/boardgame/336986/flamecraft","https://cf.geekdo-images.com/EvGtnsBDcfnKiqSiXHothQ__opengraph/img/hYU0-3jrchsarH0McEnCJ6YFvRg=/0x0:1080x567/fit-in/1200x630/filters:strip_icc()/pic6605448.jpg","Flamecraft is a charming and strategic game where players are Flamekeepers, conversing with elemental dragons to bring prosperity to town shops. With delightful artwork, it offers a cozy yet engaging experience.

## Quick Gameplay Overview

*   **Goal:** Become the most renowned Flamekeeper by accumulating reputation points.
*   **On Your Turn:**
    *   **Gather:** Move to an empty shop, collect goods, activate craft dragons, and optionally enchant.
    *   **Advertise:** Move to a shop with other Flamekeepers, gain goods, and activate one shop's ""advertise"" ability.
*   **End Game:** Triggered when the last fancy dragon is adopted or the last enchantment is drawn.
*   **Winner:** The Flamekeeper with the most reputation points.

This edition features stunning artwork and high-quality components for an immersive experience.","Board Game","3 - Medium","60+ Minutes","1","5","10+","Cardboard Alchemy","Set Collection;Engine Building;Resource Management;Card Drafting;Worker Placement;Hand Management","","","","","","","","","","","","","","",""
"Flamecraft Duals","","https://boardgamegeek.com/boardgame/439305/flamecraft-duals","https://cf.geekdo-images.com/wIpk8_5xO9Hh3cAPvWAslQ__opengraph/img/KbSD9QxoPD8BmoWsNx8QHyGdauQ=/0x0:2048x1075/fit-in/1200x630/filters:strip_icc()/pic8706498.png","Flamecraft Duals transports you to a charming artisan city, where you'll strategically place dragons and activate their abilities in a delightful two-player competition. This quick and engaging game offers a fresh take on the original's mechanics, focusing on head-to-head dragon-powered battles.

## Quick Gameplay Overview
- **Goal:** Score the most points by placing dragons, activating shops, and fulfilling objectives.
- **On Your Turn:**
    - **Place a Dragon:** Place a dragon into an available shop slot.
    - **Activate Shop Abilities:** Activate the ability of the shop with your dragon, plus adjacent shops.
    - **Gather Resources:** Collect resources from activated shops.
    - **Fulfill Objectives:** Complete an objective card if requirements are met.
- **Winner:** The player with the highest total score wins.","Card Game","2 - Medium Light","30-45 Minutes","1","2","10+","Cardboard Alchemy","Card Drafting;Hand Management;Set Collection;Pattern Building","","","","","","","","","","","","","","",""
"Flamecraft: Dragons & Dragons","","https://boardgamegeek.com/boardgame/445543/flamecraft-dragons-and-dragons","https://cf.geekdo-images.com/6Y9J97TzAYf9AGnI4FLO5g__opengraph/img/7ndf_a3wH3BG669_Wvi-xIO8HuE=/0x150:608x469/fit-in/1200x630/filters:strip_icc()/pic8857417.jpg","Flamecraft: Dragons & Dragons expands the beloved base game with new adorable hybrid dragons and strategic gameplay elements. Players become dragon trainers on fresh adventures, engaging with unique abilities and enriching the core Flamecraft experience.

## Quick Gameplay Overview
- **Goal:** Earn the most reputation by strategically placing dragons, gathering resources, and fulfilling enchantments.
- **On Your Turn:**
    - **Place Dragons:** Interact with new Hydragons for unique ""fire up"" abilities.
    - **Utilize New Shops:** Use the ""Double Dragons"" shop for dragon pairing bonuses.
    - **Engage with Upscale Cards:** Gift goods for powerful magical rewards when enchanting.
- **Winner:** The player with the most reputation points at the end of the game.

This expansion enhances the charming world of Flamecraft with new dragon types, shops, and enchanting opportunities.","Board Game","3 - Medium","60+ Minutes","1","5","10+","Cardboard Alchemy","Contracts;End Game Bonuses;Hand Management;Modular Board;Multi-Use Cards","","","","","","","","","","","true","Flamecraft","","",""
"Flamecraft: Dragons of the Past Promo Pack","","https://boardgamegeek.com/boardgame/447867/flamecraft-dragons-of-the-past-promo-pack","https://cf.geekdo-images.com/vkR-4Vn4iRA1yb3UQ-uEGg__opengraph/img/87VGlbhCfOrjgDdLvzgyCFc3g2c=/0x0:1080x567/fit-in/1200x630/filters:strip_icc()/pic9191810.png","The Flamecraft: Dragons of the Past Promo Pack expands your enchanted world of artisan dragons and bustling shops. It gathers all previously released promotional content, offering new strategic options and fresh synergies for dedicated fans and new players.

## Quick Gameplay Overview
- **Goal:** Introduce variety and new strategic options to the core Flamecraft game.
- **On Your Turn:**
    - **Integrate Shops:** Replace/add 12 new Shop cards with unique abilities.
    - **Introduce Dragons:** Incorporate 6 Fresh Scale Dragon Artisan cards for unique powers.
    - **Explore Synergies:** Optimize turns and gather resources more efficiently.
- **Winner:** Player with the most prestige points from enchanting shops, collecting resources, and fulfilling objectives.

This pack includes 12 new Shop cards and 6 Fresh Scale Dragon Artisan cards.","Other","1 - Light","60+ Minutes","1","5","20+","Cardboard Alchemy","Contracts;End Game Bonuses;Hand Management;Modular Board;Multi-Use Cards","","","","","","","","","","","true","Flamecraft","","",""
"Floristry","","https://boardgamegeek.com/boardgame/417518/floristry","https://cf.geekdo-images.com/JUxRIEqiGnNbyMHxj8RnzA__opengraph/img/rVwhx4P1lRwsG4COrwlm2f0Dn4s=/0x0:1264x664/fit-in/1200x630/filters:strip_icc()/pic8339489.png","Floristry is a charming two-player game blending strategic tile placement with a unique Dutch auction system, where florists compete to create stunning flower arrangements. Its quick playtime and engaging tête-à-tête gameplay make it perfect for couples.

## Quick Gameplay Overview
- **Goal:** Score the most points by arranging flowers and acquiring customers.
- **Each Round:**
    - **Dutch Auction:** Bid on a customer card as its price decreases, deciding when to stop the clock.
    - **Tile Placement:** Place flower tiles on your board, aiming to form large contiguous groups.
    - **Activate Abilities:** Use special abilities from acquired customer cards.
- **Winner:** The player with the highest total score from flower groups and customer cards wins.","Board Game","2 - Medium Light","15-30 Minutes","2","2","8+","UP Games","Auction: Dutch;Real-Time;Tile Placement","","","","","","","","","","","","","","",""
"Flourish","","https://boardgamegeek.com/boardgame/312618/flourish","https://cf.geekdo-images.com/SDe1rl_G4n8rrX267OKyPQ__opengraph/img/gKiGbkiDZjYOegoV01eZhQXqBas=/0x0:2974x1561/fit-in/1200x630/filters:strip_icc()/pic5659471.png","Flourish is a beautiful card-drafting, garden-building game where players cultivate the most breathtaking garden. Rival neighbors compete to create stunning landscapes filled with vibrant flora and charming structures.

## Quick Gameplay Overview

*   **Goal:** Earn the most victory points by planning your garden layout, collecting sets, and fulfilling end-game objectives.
*   **On Your Turn:**
    *   **Draft Cards:** Choose cards from your hand to keep or pass.
    *   **Play Cards:** Add selected cards to your garden tableau, activating effects.
*   **Winner:** The player with the highest victory point total wins.

The Deluxe Edition features upgraded components like wooden tokens and expanded garden boards.","Board Game","2 - Medium Light","2+ Hours","1","7","8+","Starling Games (II)","Card Drafting;Set Collection;Pattern Building;Tile Placement","","","","","","","","","","","","","","",""
"Gnoming A Round","","https://boardgamegeek.com/boardgame/327392/gnoming-a-round","https://cf.geekdo-images.com/Bw6-vu4MbgbnWO5g6tUWwg__opengraph/img/5zZgOC6nm7aXXNO6xPbpuEZuVLk=/0x66:1246x720/fit-in/1200x630/filters:strip_icc()/pic5971438.jpg","Gnoming A Round is a charming card game where players enjoy gnome-themed mini-golf, combining hand management and set collection. Strategically manage cards to score the lowest points by creating ""holes"" and discarding high-value cards, offering a delightful mental workout.

## Quick Gameplay Overview
- **Goal:** Be the player with the lowest score by collecting sets and discarding high-value cards.
- **On Your Turn:**
    - **Draw a Card:** Draw from the draw pile or a discard pile.
    - **Play a Card:** Match a drawn card with two in front of you—form a ""hole"" and discard the set.
    - **Discard a Card:** Discard one card face-up onto any discard pile.
- **End Game:** A player creating their third ""hole"" triggers the end, with other players getting one final turn.
- **Winner:** The player with the lowest total card value in hand wins.","Card Game","1 - Light","15-30 Minutes","2","7","7+","Grandpa Beck's Games","Open Drafting;Set Collection","","","","","","","","","","","","","","",""
"Guess Who?","","https://boardgamegeek.com/boardgame/4143/guess-who","https://cf.geekdo-images.com/9IzIcHIJVY08OYkXpTmUQA__opengraph/img/r_IvwemKqkTCFoomJj3D_m6p9pA=/0x0:500x263/fit-in/1200x630/filters:strip_icc()/pic335812.jpg","Guess Who? is a classic two-player deduction game where you try to identify your opponent's mystery character. It's a family favorite that hones observational skills and logical reasoning through simple, engaging play.

## Quick Gameplay Overview

*   **Goal:** Be the first to correctly guess your opponent's mystery character.
*   **On Your Turn:**
    *   **Ask a Question:** Ask a yes/no question about your opponent's character's visible attributes.
    *   **Eliminate Characters:** Flip down character cards that don't match the answer.
    *   **Continue Questioning:** Narrow down possibilities through further questions.
*   **Winner:** The first player to correctly guess their opponent's character wins the round.

This edition features the traditional character boards and cards for endless deductive fun.","Board Game","1 - Light","15-30 Minutes","2","2","6+","MB Games","Deduction;Question & Answer","","","","","","","","","","","","","","",""
"Guesstures","","https://boardgamegeek.com/boardgame/2379/guesstures","https://cf.geekdo-images.com/d-nb2hUIkGqiA9o0pJoXjw__opengraph/img/AXYnLuGayR5pN1iPSKddvNE_9Vw=/0x0:480x252/fit-in/1200x630/filters:strip_icc()/pic3784837.jpg","Guesstures is an exhilarating party game that puts a fast-paced twist on charades. Act out words for your team, but beware of the mechanical ""Action Timer"" that devours cards! This creates a high-energy, laugh-out-loud experience perfect for any gathering.

## Quick Gameplay Overview
- **Goal:** Be the team with the most points by correctly guessing words before the Action Timer ""eats"" them.
- **On Your Turn:**
    - **Load Cards:** The active player loads four word cards (easy, medium, hard) into the Action Timer.
    - **Start Acting:** Player starts the timer and acts out words, silent and using only gestures.
    - **Team Guesses:** Teammates shout out guesses; if correct, the actor grabs the card before it falls.
    - **Continue Acting:** The actor moves to the next card until all are guessed or eaten by the timer.
- **Winner:** The team with the highest total score after several rounds wins.

This edition features a unique mechanical Action Timer for frantic fun.","Party Game","1 - Light","0-15 Minutes","4","99","8+","Milton Bradley","Charades;Acting","","","","","","","","","","","","","","",""
"Habitats","","https://boardgamegeek.com/boardgame/200853/habitats","https://cf.geekdo-images.com/39mkNd_LX2-LUAs5cx1udg__opengraph/img/4eTKxAAIdlxukZfZw29bkuak2O4=/0x138:1054x691/fit-in/1200x630/filters:strip_icc()/pic7227554.jpg","Habitats is a charming tile-laying game where players create thriving wildlife parks by strategically selecting and placing terrain and animal tiles. It combines spatial puzzle-solving with set collection, making every decision impactful and engaging.

## Quick Gameplay Overview

*   **Goal:** Score the most victory points by creating a successful wildlife park, fulfilling animal habitat needs, and collecting animal sets.
*   **On Your Turn:**
    *   **Move Mover:** Move your mover on a central grid, dictating your tile choice.
    *   **Take Tile:** Take the tile your mover landed on, adding it to your park.
    *   **Place Tile:** Place the tile orthogonally adjacent to existing tiles—animal tiles need specific adjacent terrain.
    *   **Claim Animal Points:** Score points instantly if placing an animal completes its habitat requirements.
*   **End Game:** The game concludes after three ""years"" of tile drafting.
*   **Winner:** The player with the most victory points wins.","Board Game","2 - Medium Light","30-45 Minutes","1","5","10+","Cwali","Pattern Building;Tile Placement;Set Collection;Drafting","","","","","","","","","","","","","","",""
"Happy Little Dinosaurs","","https://boardgamegeek.com/boardgame/325414/happy-little-dinosaurs","https://cf.geekdo-images.com/aajSbzY8vkZG_-aJdKJh_g__opengraph/img/xgTT7ctlDxMFqUMhZTuz6gCMRFM=/0x714:714x1089/fit-in/1200x630/filters:strip_icc()/pic8286790.png","Happy Little Dinosaurs is a light-hearted, strategic card game where players navigate hilarious calamities as adorable dinosaurs. The goal is to be the last dinosaur standing amidst natural disasters and unexpected events.

## Quick Gameplay Overview
- **Goal:** Be the last dinosaur surviving.
- **On Your Turn:**
    - **Draw Card:** Draw one card.
    - **Play Point Card:** Play an optional Point card from hand.
    - **Reveal Disaster:** Flip a Disaster card from the pile.
    - **Compare Points:** Compare your Point card value to the Disaster; higher equals escape.
    - **Collect Disaster or Escape:** Failures collect the Disaster card; successes get a point token.
- **Winner:** The last player whose dinosaur has not collected three of the same Disaster cards or three different Disaster cards.","Card Game","1 - Light","30-45 Minutes","2","4","8+","Unstable Games","Hand Management;Push Your Luck;Set Collection","","","","","","","","","","","","","","",""
"Happy Salmon","","https://boardgamegeek.com/boardgame/194626/happy-salmon","https://cf.geekdo-images.com/qiPO300rG73UqxJvpUe3og__opengraph/img/-EJKmxpOXzyY-STKCCtc77Bexuc=/0x280:1033x822/fit-in/1200x630/filters:strip_icc()/pic7354069.jpg","Happy Salmon is a ridiculously fast-paced card game where players shout actions and physically interact to discard cards. It's a game of rapid recognition and even more rapid physical interaction, perfect for energizing any gathering.

## Quick Gameplay Overview
- **Goal:** Be the first player to successfully discard all cards.
- **Each Round:**
    - Players simultaneously shout the action on their top card.
    - Find another player shouting the same action.
    - Perform the physical action together.
    - Discard your top card and reveal a new one.
    - — If no match, covertly move the card to the bottom of your deck.
- **Winner:** The first player to discard their final card wins.

This portable edition comes in a fun, fish-shaped pouch, perfect for travel.","Party Game","1 - Light","0-15 Minutes","3","8","6+","Exploding Kittens","Pattern Recognition;Real-Time","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle","","https://boardgamegeek.com/boardgame/199042/harry-potter-hogwarts-battle","https://cf.geekdo-images.com/ugYBvYxyWyx8_BqaFKZlGw__opengraph/img/uO8Liq3iH93p_SsVFInhUPhzAJM=/0x16:2000x1344/fit-in/1200x630/filters:fill(blur):strip_icc()/pic3518231.jpg","Defend Hogwarts in this cooperative deck-building game, immersing players in the Harry Potter universe. Play through seven progressively challenging ""years,"" each adding new elements to discover. Collaboration is vital to overcome evil forces.

## Quick Gameplay Overview

*   **Goal:** Defeat all Villains in the current ""Year"" before they control all locations.
*   **Each Round:**
    *   **Reveal & Resolve Dark Arts Event:** Draw and resolve a Dark Arts card.
    *   **Reveal & Resolve Villain Abilities:** Active Villains use their unique powers.
    *   **Play Cards:** Use cards for influence, attack, and healing.
    *   **Buy New Cards:** Spend influence to acquire new Spell, Item, or Ally cards.
    *   **Clean Up:** Discard cards, draw a new hand.
*   **Winner:** Players win together after defeating all Villains for a specific year.
This edition includes 7 game boxes, each revealing new components and challenges.","Board Game","2 - Medium Light","30-45 Minutes","2","4","11+","The Op Games","Cooperative Game;Deck-Building;Hand Management","","","","","","","","","","","","","","",""
"Haven","","https://boardgamegeek.com/boardgame/205127/haven","https://cf.geekdo-images.com/edtVBMzkqTTNBGj53CF4tQ__opengraph/img/U3xVlLtzArACPjM1Gch2d4dFSM4=/0x0:1000x525/fit-in/1200x630/filters:strip_icc()/pic4401674.jpg","Haven is an asymmetrical two-player card game where players, as either the Forest or City faction, battle for control of a mystical forest. It blends strategic card play, area control, and tactical bluffing for a rich, confrontational experience.

## Quick Gameplay Overview

*   **Goal:** Control more Havens or accumulate more Lore tokens than your opponent.
*   **On Your Turn:**
    *   **Play a Seeker:** Choose one of your three elemental Seekers and play a matching card from hand.
    *   **Activate Seeker Ability:** Trigger the unique ability of the played Seeker.
    *   **Place Lore or Battle:** If the Seeker reaches a Haven, place Lore tokens there or battle an opponent's Seeker.
    *   **Draw Cards:** Replenish your hand for the next turn.
*   **End Game:** The game ends when all Elder cards are claimed or a player cannot draw cards.
*   **Winner:** The player with the highest score from controlled Havens and collected Elder cards.

This edition features beautiful artwork bringing the mystical setting to life.","Card Game","2 - Medium Light","30-45 Minutes","2","2","12+","Red Raven Games","Area Control;Hand Management;Asymmetric Powers","","","","","","","","","","","","","","",""
"Herd Mentality","","https://boardgamegeek.com/boardgame/311322/herd-mentality","https://cf.geekdo-images.com/85hYrpSl9Aoh2TgMf4CiDA__opengraph/img/7pqyU4wDtHMv6Zv3B185Asie9cc=/0x0:1712x899/fit-in/1200x630/filters:strip_icc()/pic5509026.png","Herd Mentality is a hilarious party game where players answer silly questions, aiming to conform with the majority to win. It's a game about blending in, where standing out earns you the dreaded pink cow.

## Quick Gameplay Overview

*   **Goal:** Be the first player to collect 8 cow tokens.
*   **Each Round:**
    *   **Draw Card:** A question card is read aloud.
    *   **Write Answer:** All players secretly write their answers.
    *   **Reveal Answers:** All answers are revealed simultaneously.
    *   **Award Tokens:** Players matching the majority answer receive a cow token.
    *   **Pink Cow:** The player with the most unique answer takes or passes the pink cow.
*   **Winner:** The first player to collect 8 cow tokens and not possess the pink cow.","Party Game","1 - Light","2+ Hours","4","20","10+","Big Potato Games","","","","","","","","","","","","","","","",""
"Herd Mentality: Booster Pack","","https://boardgamegeek.com/boardgame/401246/herd-mentality-booster-pack","https://cf.geekdo-images.com/wJ3hul_rA_cYGv8KjqtAmA__opengraph/img/xmbw84lH1gieYB2vBgAZ3TZ4HHE=/0x59:662x641/fit-in/1200x630/filters:fill(blur):strip_icc()/pic8238065.jpg","Herd Mentality: Booster Pack adds 200 new questions to the popular party game, challenging players to think like the herd. This expansion delivers fresh prompts for hilarious groupthink and light-hearted fun.

## Quick Gameplay Overview

-   **Goal:** Blend in with the majority to avoid the pink cow.
-   **On Your Turn:**
    -   A question is read aloud.
    -   Everyone secretly writes an answer to match the majority.
    -   Answers are revealed simultaneously.
    -   If you're the *only* player with an answer, you get the pink cow.
-   **Winner:** The first player to collect eight normal cow tokens wins, provided they do not possess the pink cow.

This booster pack offers continued engaging party fun, perfect for lively game nights.","Party Game","1 - Light","15-30 Minutes","4","99","10+","Big Potato Games","Voting","","","","","","","","","","","true","Herd Mentality","","",""
"Heroscape Expansion Set: Fortress of the Archkyrie","","https://boardgamegeek.com/boardgame/22646/heroscape-expansion-set-fortress-of-the-archkyrie","https://cf.geekdo-images.com/0PPl-VxTtjnM1Oc6AwDITw__opengraph/img/5BvsOGb1Pf2XDTL9gM4XbSvdVaw=/0x0:1800x945/fit-in/1200x630/filters:strip_icc()/pic241328.jpg","*Fortress of the Archkyrie* introduces castle pieces to Heroscape, allowing players to build imposing strongholds for epic siege warfare. This expansion adds strategic depth to tactical skirmishes, emphasizing elevation and defensive structures.

## Quick Gameplay Overview
- **Goal:** Eliminate opposing forces, capture objectives, breach fortifications, or defend a castle.
- **On Your Turn:**
    - **Order Markers:** Secretly place numbered order markers on army cards.
    - **Move & Attack:** Activate units to move and attack, utilizing castle terrain for bonuses.
    - **Special Abilities:** Use unit powers, often enhanced or hindered by castle features.
- **End Game:** Occurs when scenario victory conditions are met.
- **Winner:** The player who fulfills scenario objectives, such as eliminating enemies or capturing a castle section.

This expansion offers a rich experience for crafting intricate battlefields and commanding armies in castle sieges.","Miniatures","3 - Medium","60+ Minutes","2","4","10+","Hasbro","Modular Board;Dice Rolling;Line of Sight","","","","","","","","","","","true","Heroscape Master Set: Rise of the Valkyrie","","",""
